자치구,사업구분,사업장명,대표지번,진행단계,lat,lng
동작구,재개발(도시정비형),흑석2재정비촉진구역 도시환경정비사업 조합설립추진위원회,흑석동 99-3,추진위원회승인,37.5064393,126.963687
송파구,재건축,문정동 136번지일대 주택재건축정비사업조합,문정동 136,이전고시,37.4831103,127.1291437
서초구,재건축,서초신동아아파트 주택재건축정비사업조합,서초동 1334,착공,37.48818,127.01751
서초구,재건축,방배13구역 주택재건축정비사업조합,방배동 541-2,철거,37.4798789,126.9939103
서초구,재건축,신성빌라 주택재건축정비사업조합,방배동 593-98,조합설립인가,37.4787937,126.9929225
서초구,재건축,서초우성1차아파트 재건축정비사업조합,서초동 1336,조합해산,37.48818,127.01751
용산구,재건축,이촌동제1구역 주택재건축정비사업 조합설립추진위원회,이촌동 203-75,추진위원회승인,37.52086,126.96612
영등포구,재개발(도시정비형),39. 영등포1-23 재정비촉진구역,영등포동2가 213,정비구역지정,37.52125,126.91222
영등포구,재개발(도시정비형),41. 영등포1-25 재정비촉진구역,영등포동2가 159,정비구역지정,37.52125,126.91222
구로구,가로주택정비,구로동 칠성아파트 가로주택정비사업조합,구로동 685-280,조합해산,37.4945849,126.8845477
강동구,재건축,둔촌동 삼익빌라 주택재건축정비사업조합,둔촌동 85-2,준공인가,37.5289579,127.1447659
금천구,재건축,무지개아파트 일대 재건축 정비사업 조합 ,시흥동 109,사업시행인가,37.4507049,126.9085555
송파구,재건축,가락프라자아파트 주택재건축정비사업조합,가락동 199,관리처분인가,37.49672,127.11744
강남구,재건축,일원개포한신아파트 재건축정비사업조합,일원동 615-1,관리처분인가,37.48754,127.08705
강남구,재건축,압구정아파트지구 특별계획구역③ 재건축정비사업 조합,압구정동 369-1,조합설립인가,37.5300432,127.0313346
구로구,소규모재건축,동양연립소규모재건축사업조합,궁동 171-1,조합설립인가,37.5006694,126.8280726
금천구,재건축,가산동 1구역 주택재건축정비사업조합설립 추진위원회,가산동 146-78,추진위원회승인,37.4753253,126.8863954
강동구,재개발(도시정비형),천호4촉진구역 도시환경정비사업 조합,천호동 410-100,준공인가,37.54294,127.12733
금천구,재건축,"독산동 4,5구역 주택재건축정비사업조합설립 추진위원회",독산동 147-20,추진위원회승인,37.468399,126.8979571
영등포구,재개발(도시정비형),43. 문래동1·2가 도시환경정비구역,문래동1가 70-1,정비구역지정,37.51217,126.89799
영등포구,재개발(도시정비형),21. 영등포1-5 재정비촉진구역,영등포동5가 46-4,정비구역지정,37.52095,126.9066
