자치구,사업구분,사업장명,대표지번,진행단계,lat,lng,매칭구역,has_polygon
강북구,재건축,수유제4-2구역 주택재건축정비사업 조합설립추진위원회,수유동 291-224,추진위원회승인,37.569464434234625,126.99356150326884,2구역,True
관악구,재개발(주택정비형),신림2재정비촉진구역 재개발정비사업조합,신림동 324-25,철거,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(도시정비형),영등포1-13재정비촉진구역 도시환경정비사업 조합,영등포동5가 32-8,분양,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
서대문구,재개발(도시정비형),마포로5구역제2지구 도시정비형재개발사업조합,충정로3가 250,조합설립인가,37.52634210552457,126.96596738306883,5구역,True
강서구,재건축,경남1차주택재건축정비사업조합,내발산동 716-20,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
성동구,재건축,응봉1 주택재건축정비사업 조합,응봉동 193-162,사업시행인가,37.55282780250945,127.0301262262858,응봉1구역주거환경개선사업,True
용산구,재개발(도시정비형),국제빌딩주변 제4구역 도시환경정비사업조합,한강로3가 63-70,이전고시,37.5696749973672,126.99653130397422,4구역,True
동대문구,재개발(주택정비형),휘경1재정비촉진구역 주택재개발정비사업조합,휘경동 243,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강동구,재건축,길동신동아3차아파트 주택재건축정비사업조합,길동 43,조합청산,37.52050824965235,126.85186260618221,도시환경정비사업,True
용산구,재건축,한강맨션아파트 주택재건축 조합,이촌동 300-23,관리처분인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
서초구,재건축,우성2차아파트 주택재건축정비사업조합,서초동 1331,조합해산,37.52050824965235,126.85186260618221,도시환경정비사업,True
동대문구,재개발(도시정비형),용두제6구역 도시환경정비사업 조합설립추진위원회,용두동 52-28,추진위원회승인,37.579641652895106,127.02829308013348,용두제6구역 주택재개발정비사업,True
서초구,재건축,반포현대아파트주택재건축정비사업조합,반포동 30-15,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
용산구,재개발(주택정비형),효창제4구역 주택재개발 정비사업조합,효창동 117-1,조합청산,37.5696749973672,126.99653130397422,4구역,True
강서구,재건축,젤라연립 주택재건축정비사업 조합,화곡동 812-26,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
구로구,재개발(주택정비형),고척제4구역 주택재개발정비사업조합,고척동 148,착공,37.5696749973672,126.99653130397422,4구역,True
용산구,재개발(주택정비형),효창제6구역주택재개발정비사업조합,효창동 3-250,조합해산,37.54748005611239,126.96263542182909,효창제6구역 주택재개발정비사업,True
중랑구,재건축,면목동172-1번지일대 주택재건축정비사업 조합설립추진위원회,면목동 172-1,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
성북구,재개발(주택정비형),정릉제10구역 주택재개발정비사업조합,정릉동 539-1,조합해산,37.601806472529184,127.01139440602203,정릉제10구역주택재개발정비사업,True
노원구,재건축,월계3(벼루마을) 주택재건축정비사업조합,월계동 531,조합청산,37.52050824965235,126.85186260618221,도시환경정비사업,True
성북구,재개발(주택정비형),안암2구역 주택재개발 정비사업조합,안암동3가 132-17,이전고시,37.569464434234625,126.99356150326884,2구역,True
성북구,재개발(주택정비형),장위10구역 주택재개발정비사업조합,장위동 68-37,관리처분인가,37.61265679619968,127.05275345994555,장위10구역,True
성동구,재개발(주택정비형),금호제15구역 주택재개발정비사업조합,금호동1가 280,조합청산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성북구,재개발(주택정비형),장위5구역 주택재개발정비사업조합,장위동 173-114,조합해산,37.52634210552457,126.96596738306883,5구역,True
송파구,재건축,잠실우성아파트 재건축정비사업조합,잠실동 101-1,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
동작구,재개발(주택정비형),흑석8재정비촉진구역 조합,흑석동 232,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강남구,재건축,개나리4차아파트주택재건축정비사업 조합,역삼동 712,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
강북구,재개발(주택정비형),미아3재정비촉진구역 주택재개발정비사업조합,미아동 439,관리처분인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성북구,가로주택정비,장위11-2구역 가로주택정비사업 조합,장위동 68-833,사업시행인가,37.56801874649901,126.9953262777245,1-2구역,True
성북구,가로주택정비,정릉동 218의1 가로주택정비사업 조합,정릉동 218-1,사업시행인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
성북구,가로주택정비,장위11-3구역 가로주택정비사업 조합,장위동 65-107,조합설립인가,37.567249866756526,126.99544229068115,1-3구역,True
성북구,가로주택정비,장위13-4구역 가로주택정비사업 조합,장위동 219-133,조합설립인가,37.5696749973672,126.99653130397422,4구역,True
성북구,재개발(주택정비형),길음5재정비촉진구역 주택재개발정비사업 조합,정릉동 175,조합설립인가,37.60487973362358,127.0160224796866,길음5재정비촉진구역(주택정비형재개발사업),True
성북구,재개발(주택정비형),장위15구역 주택재개발정비사업조합,장위동 233-42,조합설립인가,37.6102296698346,127.04827060841004,장위15구역,True
은평구,재개발(도시정비형),수색11재정비촉진구역,수색동 32-13,정비구역지정,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
중랑구,재개발(도시정비형),상봉6재정비촉진구역 도시환경정비사업 조합설립추진위원회,상봉동 107-1,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
양천구,재개발(도시정비형),신정3재정비촉진지구2구역 도시환경정비사업조합설립추진위원회,신정동 1182-1,추진위원회승인,37.569464434234625,126.99356150326884,2구역,True
영등포구,재건축,삼성아파트 주택재건축정비사업조합,신길동 4759,조합설립인가,37.49645234701544,126.9113543202248,삼성아파트 주택재건축 정비구역,True
영등포구,재개발(주택정비형),신길12재정비촉진구역 주택재개발정비사업조합,신길동 337-246,조합청산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강북구,재건축,미아4재정비촉진구역 주택재건축정비사업조합,미아동 1261-376,관리처분인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
금천구,소규모재건축,대도연립 소규모재건축사업조합,시흥동 983-13,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
성동구,재건축,경동연립 재건축정비사업 조합설립추진위원회,성수동1가 22-13,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
동대문구,재개발(도시정비형),용두1구역(6지구) 공공재개발사업,용두동 14-1,조합설립인가,37.51723913697075,127.1070626152365,주택재건축사업,True
중랑구,가로주택정비,면목동 10-2번지 가로주택정비사업 조합,면목동 10-2,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
강북구,가로주택정비,번동2-1구역 가로주택정비사업 조합,번동 454-61,조합설립인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
강서구,가로주택정비,방화동 247-71번지 일대 가로주택정비사업조합,방화동 247-71,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
도봉구,재개발(주택정비형),쌍문제1구역 주택재개발정비사업조합,쌍문동 414,이전고시,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
용산구,재건축,청화아파트주택재건축정비사업조합설립추진위원회,이태원동 22-2,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
